Altium Designer Pick and Place Locations
C:\Users\colin\NewAE Technology Inc Dropbox\engineering\hardware_targets\cw-rpi-consulting\RPi_CWHUSKY_Target\Project Outputs for RPi_CWHUSKY_Target\Pick Place\Pick Place for RPi_CWHUSKY_Target.csv

========================================================================================================================
File Design Information:

Date:       12-08-25
Time:       09:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R24","5k1","TopLayer","RESC1608X55N","105.7910","97.0280","90","5k1 res, 0603, 1%, 1/10W"
"R23","5k1","TopLayer","RESC1608X55N","102.6160","97.0280","90","5k1 res, 0603, 1%, 1/10W"
"C36","100n","TopLayer","CAPC0402_M","152.9080","95.1230","0","100n, 0402"
"C35","100n","TopLayer","CAPC0402_M","104.9810","62.2300","0","100n, 0402"
"C34","100n","TopLayer","CAPC0402_M","135.4300","62.2300","0","100n, 0402"
"C33","100n","TopLayer","CAPC0402_M","124.7620","87.7570","0","100n, 0402"
"C32","100n","TopLayer","CAPC0402_M","120.0150","78.6130","90","100n, 0402"
"C31","100n","TopLayer","CAPC0402_M","140.2080","91.1860","90","100n, 0402"
"C30","100n","TopLayer","CAPC0402_M","108.3310","90.2970","90","100n, 0402"
"C29","100n","TopLayer","CAPC0402_M","119.7610","60.7540","90","100n, 0402"
"MH4","4-40 MH, Tight Fit","TopLayer","MOUNT_#4_TIGHT","153.7161","53.4670","0","Machine screw 4-40 Mounting Hole"
"MH3","4-40 MH, Tight Fit","TopLayer","MOUNT_#4_TIGHT","94.8690","53.4670","0","Machine screw 4-40 Mounting Hole"
"P8","Header 4","TopLayer","HDR1X4","103.8860","85.8520","270","Header, 4-Pin"
"J1","USB4105-GF-A","TopLayer","FP-USB4105-GF-A-MFG","96.2085","85.3440","270","CONN RCPT USB2.0 TYPEC 5A"
"SJ5","NO","TopLayer","SJ_2S_NO","145.6690","71.4049","270","Solder Jumper, NO"
"R22","10k","TopLayer","RESC1608X55N","99.9490","92.7100","180","10k res, 0603, 1%, 1/10W"
"R21","5k6","TopLayer","RESC1608X55N","103.6320","92.7100","180","5k6 res, 0603, 1%, 1/10W"
"C28","2u2","TopLayer","CAPC0603_M","101.9190","78.6130","180","2u2, 0603"
"P7","Header 8","TopLayer","HDR1X8","115.9450","70.9930","270","Header, 8-Pin"
"SW1","A6H-8101-PM","TopLayer","FP-A6H-8101-PM-MFG","109.1870","71.3740","90","SWITCH SLIDE DIP SPST 25MA 24V"
"U1","AMETHYST 7x7","TopLayer","QFN60P700X700X85_HS-61M","128.5370","69.5150","0",""
"U3","W25Q16JVSNIQ TR","TopLayer","FP-W25Q16JVSNIQ_TR-IPC_A","98.8000","69.9739","90","IC FLASH 16MBIT SPI/QUAD 8SOIC"
"U2","AP7361C-Y5-13","TopLayer","SOT89-5","151.5110","68.5790","0","Regulator, Adj, LDO, 1A"
"SJ4","NO","BottomLayer","SJ_2S_NO","139.0341","86.6140","0","Solder Jumper, NO"
"SJ3","NO","BottomLayer","SJ_2S_NO","145.1610","86.7410","0","Solder Jumper, NO"
"SJ2","NO","BottomLayer","SJ_2S_NO","122.0470","86.7410","0","Solder Jumper, NO"
"SJ1","NO","BottomLayer","SJ_2S_NO","128.2700","86.7410","0","Solder Jumper, NO"
